chapix_dev,verseix_dev,stanza1_dev,stanza2_dev,speaker_dev,chapix_itrans,verseix_itrans,stanza1_itrans,stanza2_itrans,stanza1_slp1,stanza2_slp1
 १,१२,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः,सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्,सञ्जय उवाच,1,12,tasya sa~njanayanharShaM kuruvRRiddhaH pitAmahaH,siMhanAdaM vinadyochchaiH sha~NkhaM dadhmau pratApavAn,tasya saYjanayanharzaM kuruvfdDaH pitAmahaH,siMhanAdaM vinadyoccEH SaNKaM daDmO pratApavAn
 १,१३,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः,सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्,सञ्जय उवाच,1,13,tataH sha~NkhAshcha bheryashcha paNavAnakagomukhAH,sahasaivAbhyahanyanta sa shabdastumulo.abhavat,tataH SaNKASca BeryaSca paRavAnakagomuKAH,sahasEvAByahanyanta sa Sabdastumulo'Bavat
 १,१४,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ,माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः,सञ्जय उवाच,1,14,tataH shvetairhayairyukte mahati syandane sthitau,mAdhavaH pANDavashchaiva divyau sha~Nkhau pradadhmatuH,tataH SvetErhayEryukte mahati syandane sTitO,mADavaH pARqavaScEva divyO SaNKO pradaDmatuH
 १,१५,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः,पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः,सञ्जय उवाच,1,15,pA~nchajanyaM hRRiShIkesho devadattaM dhana~njayaH,pauNDraM dadhmau mahAsha~NkhaM bhImakarmA vRRikodaraH,pAYcajanyaM hfzIkeSo devadattaM DanaYjayaH,pORqraM daDmO mahASaNKaM BImakarmA vfkodaraH
 १,१६,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः,नकुलः सहदेवश्च सुघोषमणिपुष्पकौ,सञ्जय उवाच,1,16,anantavijayaM rAjA kuntIputro yudhiShThiraH,nakulaH sahadevashcha sughoShamaNipuShpakau,anantavijayaM rAjA kuntIputro yuDizWiraH,nakulaH sahadevaSca suGozamaRipuzpakO
 १,१७,काश्यश्च परमेष्वासः शिखण्डी च महारथः,धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः,सञ्जय उवाच,1,17,kAshyashcha parameShvAsaH shikhaNDI cha mahArathaH,dhRRiShTadyumno virATashcha sAtyakishchAparAjitaH,kASyaSca paramezvAsaH SiKaRqI ca mahAraTaH,Dfzwadyumno virAwaSca sAtyakiScAparAjitaH
 १,१८,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते,सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्,सञ्जय उवाच,1,18,drupado draupadeyAshcha sarvashaH pRRithivIpate,saubhadrashcha mahAbAhuH sha~NkhAndadhmuH pRRithakpRRithak,drupado drOpadeyASca sarvaSaH pfTivIpate,sOBadraSca mahAbAhuH SaNKAndaDmuH pfTakpfTak
 १,१९,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्,नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन्,सञ्जय उवाच,1,19,sa ghoSho dhArtarAShTrANAM hRRidayAni vyadArayat,nabhashcha pRRithivIM chaiva tumulo.abhyanunAdayan,sa Gozo DArtarAzwrARAM hfdayAni vyadArayat,naBaSca pfTivIM cEva tumulo'ByanunAdayan
 १,२०,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः,प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः,सञ्जय उवाच,1,20,atha vyavasthitAndRRiShTvA dhArtarAShTrAn kapidhvajaH,pravRRitte shastrasampAte dhanurudyamya pANDavaH,aTa vyavasTitAndfzwvA DArtarAzwrAn kapiDvajaH,pravftte SastrasampAte Danurudyamya pARqavaH
 १,२१,हृषीकेशं तदा वाक्यमिदमाह महीपते,सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत,अर्जुन उवाच,1,21,hRRiShIkeshaM tadA vAkyamidamAha mahIpate,senayorubhayormadhye rathaM sthApaya me.achyuta,hfzIkeSaM tadA vAkyamidamAha mahIpate,senayoruBayormaDye raTaM sTApaya me'cyuta
 १,२२,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्,कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे,अर्जुन उवाच,1,22,yAvadetAnnirIkShe.ahaM yoddhukAmAnavasthitAn,kairmayA saha yoddhavyamasmin raNasamudyame,yAvadetAnnirIkze'haM yodDukAmAnavasTitAn,kErmayA saha yodDavyamasmin raRasamudyame
 १,२३,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः,धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः,अर्जुन उवाच,1,23,yotsyamAnAnavekShe.ahaM ya ete.atra samAgatAH,dhArtarAShTrasya durbuddheryuddhe priyachikIrShavaH,yotsyamAnAnavekze'haM ya ete'tra samAgatAH,DArtarAzwrasya durbudDeryudDe priyacikIrzavaH
 १,२४,एवमुक्तो हृषीकेशो गुडाकेशेन भारत,सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्,सञ्जय उवाच,1,24,evamukto hRRiShIkesho guDAkeshena bhArata,senayorubhayormadhye sthApayitvA rathottamam,evamukto hfzIkeSo guqAkeSena BArata,senayoruBayormaDye sTApayitvA raTottamam
 १,२५,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्,उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति,सञ्जय उवाच,1,25,bhIShmadroNapramukhataH sarveShAM cha mahIkShitAm,uvAcha pArtha pashyaitAnsamavetAnkurUniti,BIzmadroRapramuKataH sarvezAM ca mahIkzitAm,uvAca pArTa paSyEtAnsamavetAnkurUniti
 १,२६,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्,आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा,सञ्जय उवाच,1,26,tatrApashyatsthitAnpArthaH pitRRInatha pitAmahAn,AchAryAnmAtulAnbhrAtRRInputrAnpautrAnsakhIMstathA,tatrApaSyatsTitAnpArTaH pitFnaTa pitAmahAn,AcAryAnmAtulAnBrAtFnputrAnpOtrAnsaKIMstaTA
 १,२७,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि,तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्,सञ्जय उवाच,1,27,shvashurAnsuhRRidashchaiva senayorubhayorapi,tAnsamIkShya sa kaunteyaH sarvAnbandhUnavasthitAn,SvaSurAnsuhfdaScEva senayoruBayorapi,tAnsamIkzya sa kOnteyaH sarvAnbanDUnavasTitAn
 १,२८,कृपया परयाविष्टो विषीदन्निदमब्रवीत्,दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्,अर्जुन उवाच,1,28,kRRipayA parayAviShTo viShIdannidamabravIt,dRRiShTvemaM svajanaM kRRiShNa yuyutsuM samupasthitam,kfpayA parayAvizwo vizIdannidamabravIt,dfzwvemaM svajanaM kfzRa yuyutsuM samupasTitam
 १,२९,सीदन्ति मम गात्राणि मुखं च परिशुष्यति,वेपथुश्च शरीरे मे रोमहर्षश्च जायते,अर्जुन उवाच,1,29,sIdanti mama gAtrANi mukhaM cha parishuShyati,vepathushcha sharIre me romaharShashcha jAyate,sIdanti mama gAtrARi muKaM ca pariSuzyati,vepaTuSca SarIre me romaharzaSca jAyate
 १,३०,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते,न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः,अर्जुन उवाच,1,30,gANDIvaM sraMsate hastAttvakchaiva paridahyate,na cha shaknomyavasthAtuM bhramatIva cha me manaH,gARqIvaM sraMsate hastAttvakcEva paridahyate,na ca SaknomyavasTAtuM BramatIva ca me manaH
 १,३१,निमित्तानि च पश्यामि विपरीतानि केशव,न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे,अर्जुन उवाच,1,31,nimittAni cha pashyAmi viparItAni keshava,na cha shreyo.anupashyAmi hatvA svajanamAhave,nimittAni ca paSyAmi viparItAni keSava,na ca Sreyo'nupaSyAmi hatvA svajanamAhave
 १,३२,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च,किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा,अर्जुन उवाच,1,32,na kA~NkShe vijayaM kRRiShNa na cha rAjyaM sukhAni cha,kiM no rAjyena govinda kiM bhogairjIvitena vA,na kANkze vijayaM kfzRa na ca rAjyaM suKAni ca,kiM no rAjyena govinda kiM BogErjIvitena vA
 १,३३,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च,त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च,अर्जुन उवाच,1,33,yeShAmarthe kA~NkShitaM no rAjyaM bhogAH sukhAni cha,ta ime.avasthitA yuddhe prANAMstyaktvA dhanAni cha,yezAmarTe kANkzitaM no rAjyaM BogAH suKAni ca,ta ime'vasTitA yudDe prARAMstyaktvA DanAni ca
 १,३४,आचार्याः पितरः पुत्रास्तथैव च पितामहाः,मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा,अर्जुन उवाच,1,34,AchAryAH pitaraH putrAstathaiva cha pitAmahAH,mAtulAH shvashurAH pautrAH shyAlAH sambandhinastathA,AcAryAH pitaraH putrAstaTEva ca pitAmahAH,mAtulAH SvaSurAH pOtrAH SyAlAH sambanDinastaTA
 १,३५,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन,अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते,अर्जुन उवाच,1,35,etAnna hantumichChAmi ghnato.api madhusUdana,api trailokyarAjyasya hetoH kiM nu mahIkRRite,etAnna hantumicCAmi Gnato'pi maDusUdana,api trElokyarAjyasya hetoH kiM nu mahIkfte
 १,३६,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन,पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः,अर्जुन उवाच,1,36,nihatya dhArtarAShTrAnnaH kA prItiH syAjjanArdana,pApamevAshrayedasmAnhatvaitAnAtatAyinaH,nihatya DArtarAzwrAnnaH kA prItiH syAjjanArdana,pApamevASrayedasmAnhatvEtAnAtatAyinaH
 १,३७,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्,स्वजनं हि कथं हत्वा सुखिनः स्याम माधव,अर्जुन उवाच,1,37,tasmAnnArhA vayaM hantuM dhArtarAShTrAnsvabAndhavAn,svajanaM hi kathaM hatvA sukhinaH syAma mAdhava,tasmAnnArhA vayaM hantuM DArtarAzwrAnsvabAnDavAn,svajanaM hi kaTaM hatvA suKinaH syAma mADava
 १,३८,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः,कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्,अर्जुन उवाच,1,38,yadyapyete na pashyanti lobhopahatachetasaH,kulakShayakRRitaM doShaM mitradrohe cha pAtakam,yadyapyete na paSyanti loBopahatacetasaH,kulakzayakftaM dozaM mitradrohe ca pAtakam
 १,३९,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम्,कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन,अर्जुन उवाच,1,39,kathaM na j~neyamasmAbhiH pApAdasmAnnivartitum,kulakShayakRRitaM doShaM prapashyadbhirjanArdana,kaTaM na jYeyamasmABiH pApAdasmAnnivartitum,kulakzayakftaM dozaM prapaSyadBirjanArdana
 १,४०,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः,धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत,अर्जुन उवाच,1,40,kulakShaye praNashyanti kuladharmAH sanAtanAH,dharme naShTe kulaM kRRitsnamadharmo.abhibhavatyuta,kulakzaye praRaSyanti kulaDarmAH sanAtanAH,Darme nazwe kulaM kftsnamaDarmo'BiBavatyuta
 १,४१,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः,स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः,अर्जुन उवाच,1,41,adharmAbhibhavAtkRRiShNa praduShyanti kulastriyaH,strIShu duShTAsu vArShNeya jAyate varNasa~NkaraH,aDarmABiBavAtkfzRa praduzyanti kulastriyaH,strIzu duzwAsu vArzReya jAyate varRasaNkaraH
 १,४२,सङ्करो नरकायैव कुलघ्नानां कुलस्य च,पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः,अर्जुन उवाच,1,42,sa~Nkaro narakAyaiva kulaghnAnAM kulasya cha,patanti pitaro hyeShAM luptapiNDodakakriyAH,saNkaro narakAyEva kulaGnAnAM kulasya ca,patanti pitaro hyezAM luptapiRqodakakriyAH
 १,४३,दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः,उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः,अर्जुन उवाच,1,43,doShairetaiH kulaghnAnAM varNasa~NkarakArakaiH,utsAdyante jAtidharmAH kuladharmAshcha shAshvatAH,dozEretEH kulaGnAnAM varRasaNkarakArakEH,utsAdyante jAtiDarmAH kulaDarmASca SASvatAH
 १,४४,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन,नरके नियतं वासो भवतीत्यनुशुश्रुम,अर्जुन उवाच,1,44,utsannakuladharmANAM manuShyANAM janArdana,narake niyataM vAso bhavatItyanushushruma,utsannakulaDarmARAM manuzyARAM janArdana,narake niyataM vAso BavatItyanuSuSruma
 १,४५,अहो बत महत्पापं कर्तुं व्यवसिता वयम्,यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः,अर्जुन उवाच,1,45,aho bata mahatpApaM kartuM vyavasitA vayam,yadrAjyasukhalobhena hantuM svajanamudyatAH,aho bata mahatpApaM kartuM vyavasitA vayam,yadrAjyasuKaloBena hantuM svajanamudyatAH
 १,४६,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः,धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत्,अर्जुन उवाच,1,46,yadi mAmapratIkAramashastraM shastrapANayaH,dhArtarAShTrA raNe hanyustanme kShemataraM bhavet,yadi mAmapratIkAramaSastraM SastrapARayaH,DArtarAzwrA raRe hanyustanme kzemataraM Bavet
 १,४७,एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत्,विसृज्य सशरं चापं शोकसंविग्नमानसः,सञ्जय उवाच,1,47,evamuktvArjunaH sa~Nkhye rathopastha upAvishat,visRRijya sasharaM chApaM shokasaMvignamAnasaH,evamuktvArjunaH saNKye raTopasTa upAviSat,visfjya saSaraM cApaM SokasaMvignamAnasaH
 २,१,तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्,विषीदन्तमिदं वाक्यमुवाच मधुसूदनः,सञ्जय उवाच,2,1,taM tathA kRRipayAviShTamashrupUrNAkulekShaNam,viShIdantamidaM vAkyamuvAcha madhusUdanaH,taM taTA kfpayAvizwamaSrupUrRAkulekzaRam,vizIdantamidaM vAkyamuvAca maDusUdanaH
 २,२,कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्,अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन,श्रीभगवानुवाच,2,2,kutastvA kashmalamidaM viShame samupasthitam,anAryajuShTamasvargyamakIrtikaramarjuna,kutastvA kaSmalamidaM vizame samupasTitam,anAryajuzwamasvargyamakIrtikaramarjuna
 २,३,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते,क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप,श्रीभगवानुवाच,2,3,klaibyaM mA sma gamaH pArtha naitattvayyupapadyate,kShudraM hRRidayadaurbalyaM tyaktvottiShTha parantapa,klEbyaM mA sma gamaH pArTa nEtattvayyupapadyate,kzudraM hfdayadOrbalyaM tyaktvottizWa parantapa
 २,४,कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन,इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन,अर्जुन उवाच,2,4,kathaM bhIShmamahaM sa~Nkhye droNaM cha madhusUdana,iShubhiH pratiyotsyAmi pUjArhAvarisUdana,kaTaM BIzmamahaM saNKye droRaM ca maDusUdana,izuBiH pratiyotsyAmi pUjArhAvarisUdana
 २,५,गुरूनहत्वा हि महानुभावान् श्रेयो भोक्तुं भैक्ष्यमपीह लोके,हत्वार्थकामांस्तु गुरूनिहैव भुञ्जीय भोगान् रुधिरप्रदिग्धान्,अर्जुन उवाच,2,5,gurUnahatvA hi mahAnubhAvAn shreyo bhoktuM bhaikShyamapIha loke,hatvArthakAmAMstu gurUnihaiva bhu~njIya bhogAn rudhirapradigdhAn,gurUnahatvA hi mahAnuBAvAn Sreyo BoktuM BEkzyamapIha loke,hatvArTakAmAMstu gurUnihEva BuYjIya BogAn ruDirapradigDAn
 २,६,न चैतद्विद्मः कतरन्नो गरीयो यद्वा जयेम यदि वा नो जयेयुः,यानेव हत्वा न जिजीविषामस्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः,अर्जुन उवाच,2,6,na chaitadvidmaH kataranno garIyo yadvA jayema yadi vA no jayeyuH,yAneva hatvA na jijIviShAmaste.avasthitAH pramukhe dhArtarAShTrAH,na cEtadvidmaH kataranno garIyo yadvA jayema yadi vA no jayeyuH,yAneva hatvA na jijIvizAmaste'vasTitAH pramuKe DArtarAzwrAH
 २,७,कार्पण्यदोषोपहतस्वभावः पृच्छामि त्वां धर्मसम्मूढचेताः,यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम्,अर्जुन उवाच,2,7,kArpaNyadoShopahatasvabhAvaH pRRichChAmi tvAM dharmasammUDhachetAH,yachChreyaH syAnnishchitaM brUhi tanme shiShyaste.ahaM shAdhi mAM tvAM prapannam,kArpaRyadozopahatasvaBAvaH pfcCAmi tvAM DarmasammUQacetAH,yacCreyaH syAnniScitaM brUhi tanme Sizyaste'haM SADi mAM tvAM prapannam
 २,८,न हि प्रपश्यामि ममापनुद्याद् यच्छोकमुच्छोषणमिन्द्रियाणाम्,अवाप्य भूमावसपत्नमृद्धं राज्यं सुराणामपि चाधिपत्यम्,अर्जुन उवाच,2,8,na hi prapashyAmi mamApanudyAd yachChokamuchChoShaNamindriyANAm,avApya bhUmAvasapatnamRRiddhaM rAjyaM surANAmapi chAdhipatyam,na hi prapaSyAmi mamApanudyAd yacCokamucCozaRamindriyARAm,avApya BUmAvasapatnamfdDaM rAjyaM surARAmapi cADipatyam
 २,९,एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तप,न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह,सञ्जय उवाच,2,9,evamuktvA hRRiShIkeshaM guDAkeshaH parantapa,na yotsya iti govindamuktvA tUShNIM babhUva ha,evamuktvA hfzIkeSaM guqAkeSaH parantapa,na yotsya iti govindamuktvA tUzRIM baBUva ha
 २,१०,तमुवाच हृषीकेशः प्रहसन्निव भारत,सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः,सञ्जय उवाच,2,10,tamuvAcha hRRiShIkeshaH prahasanniva bhArata,senayorubhayormadhye viShIdantamidaM vachaH,tamuvAca hfzIkeSaH prahasanniva BArata,senayoruBayormaDye vizIdantamidaM vacaH
 २,११,अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे,गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः,श्रीभगवानुवाच,2,11,ashochyAnanvashochastvaM praj~nAvAdAMshcha bhAShase,gatAsUnagatAsUMshcha nAnushochanti paNDitAH,aSocyAnanvaSocastvaM prajYAvAdAMSca BAzase,gatAsUnagatAsUMSca nAnuSocanti paRqitAH
 २,१२,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः,न चैव न भविष्यामः सर्वे वयमतः परम्,श्रीभगवानुवाच,2,12,na tvevAhaM jAtu nAsaM na tvaM neme janAdhipAH,na chaiva na bhaviShyAmaH sarve vayamataH param,na tvevAhaM jAtu nAsaM na tvaM neme janADipAH,na cEva na BavizyAmaH sarve vayamataH param
 २,१३,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा,तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति,श्रीभगवानुवाच,2,13,dehino.asminyathA dehe kaumAraM yauvanaM jarA,tathA dehAntaraprAptirdhIrastatra na muhyati,dehino'sminyaTA dehe kOmAraM yOvanaM jarA,taTA dehAntaraprAptirDIrastatra na muhyati
 २,१४,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः,आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत,श्रीभगवानुवाच,2,14,mAtrAsparshAstu kaunteya shItoShNasukhaduHkhadAH,AgamApAyino.anityAstAMstitikShasva bhArata,mAtrAsparSAstu kOnteya SItozRasuKaduHKadAH,AgamApAyino'nityAstAMstitikzasva BArata
 २,१५,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ,समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते,श्रीभगवानुवाच,2,15,yaM hi na vyathayantyete puruShaM puruSharShabha,samaduHkhasukhaM dhIraM so.amRRitatvAya kalpate,yaM hi na vyaTayantyete puruzaM puruzarzaBa,samaduHKasuKaM DIraM so'mftatvAya kalpate
 २,१६,नासतो विद्यते भावो नाभावो विद्यते सतः,उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः,श्रीभगवानुवाच,2,16,nAsato vidyate bhAvo nAbhAvo vidyate sataH,ubhayorapi dRRiShTo.antastvanayostattvadarshibhiH,nAsato vidyate BAvo nABAvo vidyate sataH,uBayorapi dfzwo'ntastvanayostattvadarSiBiH
 २,१७,अविनाशि तु तद्विद्धि येन सर्वमिदं ततम्,विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति,श्रीभगवानुवाच,2,17,avinAshi tu tadviddhi yena sarvamidaM tatam,vinAshamavyayasyAsya na kashchitkartumarhati,avinASi tu tadvidDi yena sarvamidaM tatam,vinASamavyayasyAsya na kaScitkartumarhati
 २,१८,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः,अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत,श्रीभगवानुवाच,2,18,antavanta ime dehA nityasyoktAH sharIriNaH,anAshino.aprameyasya tasmAdyudhyasva bhArata,antavanta ime dehA nityasyoktAH SarIriRaH,anASino'prameyasya tasmAdyuDyasva BArata
 २,१९,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम्,उभौ तौ न विजानीतो नायं हन्ति न हन्यते,श्रीभगवानुवाच,2,19,ya enaM vetti hantAraM yashchainaM manyate hatam,ubhau tau na vijAnIto nAyaM hanti na hanyate,ya enaM vetti hantAraM yaScEnaM manyate hatam,uBO tO na vijAnIto nAyaM hanti na hanyate
